@id,@lon,@lat,name,int_name
1000000194654848,20.8006184,41.0787289,Хотел Славија Спектар,Hotel Slavija Spektar
1000000194654853,20.7972551,41.0846254,Хотел Инекс Горица,Hotel Ineks Gorica
1000000194655820,20.8018843,41.0565886,Турист,
1000000305673424,20.7980118,41.1122005,Хотел Алекандрија,Hotel Alexandria
1000000305673425,20.7981420,41.1122708,Вила Коста Охрид,Villa Kosta Ohrid
1000000305673431,20.7975984,41.1117779,,
1000000436774105,20.8022541,41.1140619,,
1000000448923278,20.7740544,41.1222242,Далјан,Daljan
1000000591021799,20.8102713,41.1052876,UNIQUE - resort & spa,
1000000759409365,20.7940771,41.1129173,Villa Varosh,
